DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,LOCATION,Cross Street,LAT,LON,Day of Week,Amount,Damage
2022-02-16,2000,16,Foothill,903,CONTEMPT OF COURT,70,M,H,104.0,DRIVEWAY,999.0,NO WEAPON,13200    FILMORE                      ST,NO CROSS STREET,34.2726,-118.4204,3,0.0,0
2021-01-12,2230,14,Pacific,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,202.0,LIQUOR STORE,999.0,NO WEAPON,10000    NATIONAL                     BL,NO CROSS STREET,34.0291,-118.4036,2,950.0,1
2021-03-12,2004,2,Rampart,624,BATTERY - SIMPLE ASSAULT,51,M,X,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",BONNIE BRAE                  ST,6TH                          ST,34.0585,-118.2724,5,0.0,0
2020-07-14,930,7,Wilshire,626,INTIMATE PARTNER - SIMPLE ASSAULT,59,M,B,504.0,OTHER RESIDENCE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1100    CARMONA                      AV,NO CROSS STREET,34.0557,-118.3552,2,0.0,0
2022-07-07,1735,16,Foothill,624,BATTERY - SIMPLE ASSAULT,38,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",VINEDALE                     ST,GLENOAKS                     BL,34.2287,-118.3653,4,0.0,0
2020-10-25,1230,12,77th Street,624,BATTERY - SIMPLE ASSAULT,22,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 W  81ST                         ST,NO CROSS STREET,33.9655,-118.2853,7,0.0,0
2020-01-24,2230,8,West LA,210,ROBBERY,24,M,W,102.0,SIDEWALK,102.0,HAND GUN,PICO,LA PEER,34.0553,-118.3868,5,10000.0,1
2022-12-31,1533,12,77th Street,440,THEFT PLAIN - PETTY ($950 & UNDER),23,M,H,119.0,"PORCH, RESIDENTIAL",999.0,NO WEAPON,5500    CIMARRON                     ST,NO CROSS STREET,33.9921,-118.316,6,950.0,1
2023-04-12,1400,11,Northeast,510,VEHICLE - STOLEN,0,X,X,101.0,STREET,999.0,NO WEAPON,4600    YORK                         BL,NO CROSS STREET,34.1232,-118.216,3,20000.0,1
2021-06-05,1130,19,Mission,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,61,M,W,501.0,SINGLE FAMILY DWELLING,308.0,STICK,14100    TERRA BELLA                  ST,NO CROSS STREET,34.243,-118.4393,6,0.0,0
2020-01-23,800,10,West Valley,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,31,F,H,101.0,STREET,307.0,VEHICLE,TAMPA                        AV,TOPHAM                       ST,34.1687,-118.5579,4,0.0,0
