Cluster,Vict Sex,Amount,Damage
0,"'F': 87% , 'X': 13% ",0.0 -- 950.0,"'0': 58% , '1': 42% "
1,"'X': 70% , 'M': 18% , 'F': 12% ",20000.0 -- 20000.0,'1': 100% 
2,"'M': 91% , 'X': 9% ",0.0 -- 0.0,"'0': 76% , '1': 24% "
3,"'M': 100% , 'X': 0% ",0.0 -- 2000.0,"'1': 72% , '0': 28% "
4,"'M': 45% , 'X': 28% , 'F': 27% ",0.0 -- 10000.0,"'1': 66% , '0': 34% "
